source_media_id,original_filename,original_relative_path,top_level_source_folder,detected_mime_type,detected_container_type,file_extension,file_size,sha256,video_duration,width,height,display_aspect_ratio,frame_rate,average_frame_rate,video_codec,audio_codec,audio_stream_presence,rotation_metadata,color_space,hdr_indicators,creation_metadata,filesystem_modification_time,corruption_or_decode_warnings,processing_eligibility,suspected_game,game_identification_confidence,suspected_category,category_identification_confidence,duplicate_status,exact_duplicate_source_id,near_duplicate_group,ingestion_status,review_status,production_status,notes
GFM_MEDIA_UNKNOWN_DAF18C625F96,.DS_Store,source-media/.DS_Store,.DS_Store,application/octet-stream,UNKNOWN,,10244,daf18c625f9612da785328ee11a9d6fe95b1049ef1a29a43863b1b6e10f7d487,,,,,,,,,false,,,,,2026-08-02T22:40:36.392Z,unsupported_media_type,unsupported,unknown,unknown,unknown_category,unknown,unique,,,RECORDED_UNSUPPORTED,AUTOMATED_REVIEW_REQUIRED,NOT_PRODUCTION_DATA,Hidden/system file recorded for source-media disposition; not usable game evidence.
GFM_MEDIA_UNKNOWN_0985ED3C327A,.DS_Store,source-media/Fc26/.DS_Store,Fc26,application/octet-stream,UNKNOWN,,10244,0985ed3c327a4411ab001a1370e64f245899d6147fa4d7a816d7441581a03af4,,,,,,,,,false,,,,,2026-08-02T02:09:02.361Z,unsupported_media_type,unsupported,unknown,unknown,unknown_category,unknown,unique,,,RECORDED_UNSUPPORTED,AUTOMATED_REVIEW_REQUIRED,NOT_PRODUCTION_DATA,Hidden/system file recorded for source-media disposition; not usable game evidence.
GFM_MEDIA_UNKNOWN_8BF9B71DD358,.DS_Store,source-media/Fc26/player-creator/.DS_Store,Fc26,application/octet-stream,UNKNOWN,,6148,8bf9b71dd35886424c2e5747d409bdea76cd15e87f4f48ee354adcfd5d81e465,,,,,,,,,false,,,,,2026-08-02T02:02:10.759Z,unsupported_media_type,unsupported,unknown,unknown,unknown_category,unknown,unique,,,RECORDED_UNSUPPORTED,AUTOMATED_REVIEW_REQUIRED,NOT_PRODUCTION_DATA,Hidden/system file recorded for source-media disposition; not usable game evidence.
GFM_MEDIA_FC26_6AB6BFCA771C,fc26-player-creator-part-01.mp4,source-media/Fc26/player-creator/fc26-player-creator-part-01.mp4,Fc26,video/mp4,mov,.mp4,583430951,6ab6bfca771c2f5595f1a51c8b8fdc87ded9078c72bc6071c4303d8d2fc57fea,240.98,1920,1080,16:9,58.96,59.94,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),true,,yuv420p(progressive),,2026-08-02T01:21:41.000000Z,2026-08-02T01:25:41.659Z,,eligible_video,fc26,high,player_creator,medium,unique,,,INVENTORIED,AUTOMATED_REVIEW_REQUIRED,NOT_PRODUCTION_DATA,FC26 evidence remains isolated from College Football 27 records.
GFM_MEDIA_FC26_0C758EB69716,fc26-player-creator-part-02.MP4,source-media/Fc26/player-creator/fc26-player-creator-part-02.MP4,Fc26,video/mp4,mov,.mp4,552340973,0c758eb69716938f5bca7b4c0e7219d802a8fafa64287d0851ce94312911b531,235.69,1920,1080,16:9,58.96,59.94,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),true,,yuv420p(progressive),,2026-08-02T01:25:53.000000Z,2026-08-02T01:25:53.000Z,,eligible_video,fc26,high,player_creator,medium,unique,,,INVENTORIED,AUTOMATED_REVIEW_REQUIRED,NOT_PRODUCTION_DATA,FC26 evidence remains isolated from College Football 27 records.
GFM_MEDIA_CF27_BDD75F0CE953,EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_13_02.mp4,NCAA 26,video/mp4,mov,.mp4,573576743,bdd75f0ce953aaf9fda0cb187658b9314ae7f6c21f5ab30d7e474549841037d5,240.24,1920,1080,16:9,58.96,59.94,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),true,,yuv420p(progressive),,2026-08-02T21:09:02.000000Z,2026-08-02T21:13:02.847Z,,eligible_video,cf27,high,main_appearance_menu,medium,unique,,,INVENTORIED,AUTOMATED_REVIEW_REQUIRED,NOT_PRODUCTION_DATA,Physical folder is source-media/NCAA 26; existing records identify this as College Football 27 evidence.
GFM_MEDIA_CF27_60F68A5C1AF4,EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_18_14.mp4,NCAA 26,video/mp4,mov,.mp4,548140709,60f68a5c1af4f96f9f18c453440a7f8d6296aa661068b0092f3e41827e553d50,235.35,1920,1080,16:9,58.95,59.94,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),true,,yuv420p(progressive),,2026-08-02T21:14:19.000000Z,2026-08-02T21:18:14.222Z,,eligible_video,cf27,high,hair_style,medium,unique,,,INVENTORIED,AUTOMATED_REVIEW_REQUIRED,NOT_PRODUCTION_DATA,Physical folder is source-media/NCAA 26; existing records identify this as College Football 27 evidence.
GFM_MEDIA_CF27_90A29684F972,EA SPORTS™ College Football 27-2026_08_02-21_21_15.mp4,source-media/NCAA 26/EA SPORTS™ College Football 27-2026_08_02-21_21_15.mp4,NCAA 26,video/mp4,mov,.mp4,357653157,90a29684f972dff7f41c33fb6457ee545a65c94292647ff9d91be1f1bc168586,163.8,1920,1080,16:9,58.96,59.94,h264 (Main) (avc1 / 0x31637661),aac (LC) (mp4a / 0x6134706D),true,,yuv420p(progressive),,2026-08-02T21:18:33.000000Z,2026-08-02T21:21:16.167Z,,eligible_video,cf27,high,body,medium,unique,,,INVENTORIED,AUTOMATED_REVIEW_REQUIRED,NOT_PRODUCTION_DATA,Physical folder is source-media/NCAA 26; existing records identify this as College Football 27 evidence.
