view_id,source_media_id,source_timestamp,view_label,source_frame_path,crop_path,pose_estimate,blur_quality,exposure_quality,occlusion_quality,face_visibility_quality,review_status,production_status
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000055p000_E2F1AA74,GFM_MEDIA_FC26_6AB6BFCA771C,00:00:55.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000055p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000100p000_84727AEA,GFM_MEDIA_FC26_6AB6BFCA771C,00:01:00.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000100p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000105p000_A707AE65,GFM_MEDIA_FC26_6AB6BFCA771C,00:01:05.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000105p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000110p000_09C3B7AA,GFM_MEDIA_FC26_6AB6BFCA771C,00:01:10.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000110p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000115p000_5E81D9DA,GFM_MEDIA_FC26_6AB6BFCA771C,00:01:15.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000115p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000120p000_0CE15BCF,GFM_MEDIA_FC26_6AB6BFCA771C,00:01:20.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000120p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000130p000_0A02FDC0,GFM_MEDIA_FC26_6AB6BFCA771C,00:01:30.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000130p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000140p000_046E1009,GFM_MEDIA_FC26_6AB6BFCA771C,00:01:40.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000140p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000145p000_35CBB71A,GFM_MEDIA_FC26_6AB6BFCA771C,00:01:45.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000145p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000150p000_E79A81C6,GFM_MEDIA_FC26_6AB6BFCA771C,00:01:50.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000150p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
